"ID","","","","","","","",""
"3df9af40-692d-41f4-a850-aefdb0ba7c49","Artificial Intelligence System Monitoring and Governance","Technical skills","Data Services - Data Science","Demonstrated ability to develop and maintain monitoring systems for AI systems, addressing health, bias, and data drift to ensure ethical and reliable performance.","Surveillance et gouvernance des systèmes d’intelligence artificielle","Compétences techniques","Services de données - Science des données","Capacité démontrée à développer et à maintenir des systèmes de surveillance pour les systèmes d'IA, en tenant compte de la santé, de la partialité et de la dérive des données afin d'assurer des performances éthiques et fiables."
"3a908228-1cdb-4020-a12d-5ee23972a5a6","Data Innovation","Technical skills","Data Services - Data Systems Operations","Demonstrated ability to acknowledge emerging trends in data tools, analysis, data usage and understands the impact on the organization as well as implements new tools and processes when they will improve usability of data and organizational outcomes.","Innovation en matière de données","Compétences techniques","Services de données - Opérations des systèmes de données","Capacité démontrée à reconnaître les nouvelles tendances en matière d’outils de données, d’analyse et d’utilisation des données, à comprendre leur impact sur l’organisation et à mettre en œuvre de nouveaux outils et processus lorsqu’ils permettent d’améliorer l’utilisation des données et les résultats de l’organisation."
"88319dc9-5017-4614-bd69-c1e6bcedcbf1","Information Architecture Maintenance","Technical skills","Information and Data Governance - Information Architecture","Demonstrated ability to use and maintain information architecture artefacts including enterprise taxonomies, vocabularies, classification schemes, namespaces and ontologies.","Maintenance de l'architecture de l'information","Compétences techniques","Gouvernance de l'information et des données - Architecture de l'information","Capacité démontrée à utiliser et à maintenir des artefacts d'architecture de l'information, notamment des taxonomies, des vocabulaires, des systèmes de classification, des espaces de noms et des ontologies d'entreprise."
"c54d51ff-5372-42a9-9fda-0395207017c6","Information Architecture Advice","Technical skills","Information and Data Governance - Information Architecture","Demonstrated ability to provide guidance on the development and maintenance of information architecture artefacts.","Conseil en architecture de l'information","Compétences techniques","Gouvernance de l'information et des données - Architecture de l'information","Capacité démontrée à fournir des orientations sur le développement et la maintenance des artefacts de l'architecture de l'information."
"4bb635d8-a988-4df4-aeac-51ba279cd688","Access to Information and Privacy Software","Technical skills","Access to Information and Privacy","Demonstrated ability to use Access to Information and Privacy (ATIP) software. This may include portals, databases, or query programs that are specific to ATIP.","Logiciels d’accès à l’information et de protection de la vie privée","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité démontrée à utiliser des logiciels d'accès à l'information et de protection des renseignements personnels (AIPRP). Cela peut inclure des portails, des bases de données ou des programmes d'interrogation qui sont spécifiques à l’AIPRP"
"782c953b-6aa5-40e6-9e01-007df83b4bd8","Information Requests - Processing","Technical skills","Access to Information and Privacy","Demonstrated ability to process access to information (ATI), freedom of information (FOI) or personal information (Privacy) requests.","Demandes d'informations - Traitement","Compétences techniques","Accès à l’information et de la protection des renseignements personnels","Capacité manifeste à traiter les demandes d’accès à l’information (AI), de liberté d’accès à l’information (LAI) ou de protection des renseignements personnels."
"9723644a-5a7e-4033-86c6-2d43a306dd3d","Collaboration","Behavioural skills","Interpersonal Behaviours","Demonstrated ability to work with others toward a common goal through the mutual sharing of ideas, information, and resources.","Collaboration","Compétences comportementales","Comportements interpersonnels","Capacité démontrée à travailler avec d’autres personnes vers un objectif commun grâce au partage mutuel d’idées, d’informations et de ressources."
"c0a244ef-3879-447f-a6e2-7858cca33f60","Business Continuity Analysis Procedures and Exercise Frameworks","Technical skills","IT Security","Demonstrated ability to identify threats to essential business functions and create prevention and recovery systems to deal with them.","Procédures d’analyse de la continuité des activités et cadres d’exercices","Compétences techniques","Sécurité informatique","Capacité démontrée à identifier les menaces qui pèsent sur les fonctions essentielles de l’entreprise et à créer des systèmes de prévention et de rétablissement pour y faire face."
"f838592b-9df3-4f1d-afba-6339080d7706","Decision-Making","Behavioural skills","Thinking Skills, Leadership - General Behaviours","Demonstrated ability to select a course of action in a rational and timely way, weighing factors such as feasibility, benefits, risks, competing concerns, and alternative choices.","Prise de décision","Compétences comportementales","Capacités de raisonnement, Leadership - Comportements généraux","Aptitude avérée à choisir un plan d’action de manière rationnelle et opportune, en soupesant des facteurs tels que la faisabilité, les avantages, les risques, les préoccupations concurrentes et les choix alternatifs."
"b8ff8796-7cb9-4659-9aef-5daa08331516","Application Content Development","Technical skills","Software Solutions - Application Development","Demonstrated ability to develop content for applications, including copy, visuals, and feature elements.","Développement de contenu pour les applications","Compétences techniques","Solutions logicielles - développement d'applications","Capacité démontrée à développer du contenu pour des applications, y compris des textes, des visuels et des éléments de fonctionnalité."
"183434af-f5c2-464f-9422-aaa50c54254d","IT Project Progress Monitoring","Technical skills","Digital Project Portfolio Management, IT Planning and Reporting, Digital Business Line Advisory Services","Demonstrated ability to work with established procedures to track IT projects, including demonstrating awareness of best practices in IT project planning, working with clients to gather data, and ensuring attention to detail.","Suivi de l’avancement des projets informatiques","Compétences techniques","Gestion de portefeuille de projets numériques, Planification et établissement de rapports en matière de la numérique, Services consultatifs auprès des secteurs de la numérique","Capacité démontrée à travailler avec des procédures établies pour suivre les projets informatiques, notamment en démontrant une connaissance des meilleures pratiques en matière de planification de projets informatiques, en travaillant avec les clients pour recueillir des données et en garantissant le souci du détail."
"ce3ec269-7b2c-4247-a3ce-18bdc04339f0","Agile Methodologies","Technical skills","IT Infrastructure Operations, Software Solutions - Quality Assurance, Software Solutions - Web Development, Software Solutions - Application Development, Software Solutions - Product Design, Digital Business Line Advisory Services","Demonstrated ability to break projects up into short, structured cycles so work can be routinely assessed and improved upon.","Méthodologies agiles","Compétences techniques","Opérations d'infrastructure informatique, Solutions logicielles - assurance qualité, Solutions logicielles - développement web, Solutions logicielles - développement d'applications, Solutions logicielles - Conception de produits, Services consultatifs auprès des secteurs de la numérique","Capacité avérée à diviser les projets en cycles courts et structurés afin que le travail puisse être régulièrement évalué et amélioré."
"492dd415-7036-410a-bb6b-fa54a0a462a4","Automated Decision-Making","Technical skills","Data Services - Data Science","Demonstrated ability to apply the Directive on Automated Decision-Making, including completing an Algorithmic Impact Assessment, to identify, evaluate and mitigate risks associated with deploying an automated decision-making system.","Prise de décision automatisée","Compétences techniques","Services de données - Science des données","Capacité démontrée à appliquer la directive sur la prise de décision automatisée, notamment en réalisant une évaluation de l'impact algorithmique, afin d'identifier, d'évaluer et d'atténuer les risques liés au déploiement d'un système de prise de décision automatisée."
